date        pg      sp         abt
19750228 0.032832 0.059886 0.118834
19750331 0.01457 0.021694 0.116232
19750430 0 0.047265 0.041077
19750530 0.018373 0.044101 0.024263
19750630 0.011598 0.044323 0.032149
19750731 -0.082803 -0.067654 -0.011672
19750829 -0.055866 -0.02107 -0.013333
19750930 -0.017751 -0.034645 -0.070946
19751031 0.075301 0.061643 0.133091
19751128 0.047887 0.024708 0.058065
19751231 -0.043011 -0.011508 0.006098
19760130 0.039326 0.118306 0.047273
19760227 -0.077446 -0.011402 -0.06686
19760331 0.066274 0.030689 0.130841
19760430 -0.01326 -0.010995 -0.006171
19760528 -0.004225 -0.014364 -0.008357
19760630 0.07355 0.040926 -0.005618
19760730 0.017655 -0.008055 0.069944
19760831 -0.009115 -0.005124 0.074271
19760930 0.015769 0.022641 0.02963
19761029 -0.011125 -0.022235 0.021007
19761130 -0.014474 -0.007775 -0.089623
19761231 0 0.052498 0.018135
19770131 -0.073164 -0.05053 -0.073791
19770228 -0.043541 -0.02166 -0.005525
19770331 -0.040971 -0.014025 -0.033333
19770429 -0.010759 0.000203 -0.037356
19770531 -0.043548 -0.023568 -0.054054
19770630 0.080944 0.04536 0.126984
19770729 0.003432 -0.016222 0.054648
19770831 0.081505 -0.021042 0.056452
19770930 -0.013043 -0.00248 0.043257
19771031 -0.018796 -0.043406 -0.025854
19771130 0.030166 0.026966 0.078086
19771230 0.005857 0.002847 0.056075
19780131 -0.073945 -0.061514 -0.087611
19780228 -0.026941 -0.024762 0.002439
19780331 -0.034202 0.024931 0.075426
19780428 0.150084 0.085416 0.090226
19780531 0.013314 0.004234 0.052192
19780630 0.00438 -0.017585 0.027778
19780731 0.059593 0.05391 0.156139
19780831 -0.035961 0.025924 -0.036913
19780929 -0.001435 -0.007261 -0.027875
19781031 -0.043103 -0.091574 -0.083584
19781130 0.039394 0.01664 0
19781229 0.036443 0.014889 0.062992
19790131 -0.040788 0.039746 -0.001185
19790228 -0.038462 -0.036526 -0.108209
19790330 -0.003077 0.055152 0.100418
19790430 -0.001852 0.001673 -0.011407
19790531 0.007813 -0.026336 -0.027132
19790629 -0.046512 0.038656 0.087649
19790731 -0.024715 0.008746 0.03663
19790831 0.080944 0.053078 0.05694
