        Mkt-RF     SMB     HML      RF
198201   -3.24   -1.28    3.12    0.80
198202   -5.86    0.45    6.04    0.92
198203   -1.87   -0.18    3.82    0.98
198204    3.27    1.51   -2.80    1.13
198205   -3.99    0.46    1.83    1.06
198206   -3.09   -0.39    1.54    0.96
198207   -3.19    0.86    0.20    1.05
198208   11.14   -4.11    1.16    0.76
198209    1.29    2.89    0.34    0.51
198210   11.30    2.36   -3.69    0.59
198211    4.67    4.79   -1.92    0.63
198212    0.55   -0.18    0.02    0.67
198301    3.60    2.70   -0.86    0.69
198302    2.59    3.24    0.68    0.62
198303    2.82    1.77    2.07    0.63
198304    6.67    0.52    0.58    0.71
198305    0.52    6.15   -1.40    0.69
198306    3.07    0.91   -3.89    0.67
198307   -4.07    1.48    5.58    0.74
198308   -0.50   -4.29    5.54    0.76
198309    0.92    0.56    1.06    0.76
198310   -3.44   -3.60    5.00    0.76
198311    2.16    2.05   -0.65    0.70
198312   -1.78   -0.28    1.68    0.73
198401   -1.92   -0.42    7.60    0.76
198402   -4.82   -1.68    3.31    0.71
198403    0.63    0.08    0.49    0.73
198404   -0.52   -1.19    1.24    0.81
198405   -5.97    0.04    0.23    0.78
198406    1.82   -0.28   -2.63    0.75
198407   -2.74   -2.22    0.39    0.82
198408   10.28   -0.22   -1.83    0.83
198409   -0.80    0.21    5.31    0.86
198410   -0.84   -1.20    0.48    1.00
198411   -1.76   -0.62    4.04    0.73
198412    1.84   -0.58   -0.14    0.64
198501    7.99    3.26   -5.39    0.65
198502    1.22    0.78   -0.17    0.58
198503   -0.84   -1.11    4.03    0.62
198504   -0.96    0.17    3.71    0.72
198505    5.09   -2.27   -0.88    0.66
198506    1.27    0.48    0.43    0.55
198507   -0.74    2.85   -1.67    0.62
198508   -1.02   -0.32    2.29    0.55
198509   -4.54   -1.59    1.29    0.60
198510    4.02   -1.56    0.77    0.65
198511    6.48    0.21   -2.93    0.61
198512    3.88   -0.49   -1.56    0.65
198601    0.65    1.20    0.53    0.56
198602    7.13   -0.64   -0.88    0.53
198603    4.88   -0.51   -0.51    0.60
198604   -1.31    2.83   -2.90    0.52
198605    4.62   -1.31   -0.12    0.49
198606    1.03   -0.93    1.39    0.52
198607   -6.45   -3.37    4.76    0.52
198608    6.07   -4.17    3.52    0.46
198609   -8.60    2.28    3.20    0.45
198610    4.66   -2.56   -1.44    0.46
198611    1.17   -1.98   -0.09    0.39
198612   -3.27    0.08    0.31    0.49
198701   12.47   -1.79   -3.21    0.42
198702    4.39    3.46   -5.96    0.43
198703    1.64    0.40    1.59    0.47
198704   -2.11   -1.70   -0.32    0.44
198705    0.11   -0.55    0.16    0.38
198706    3.94   -2.17    1.06    0.48
198707    3.85   -0.63    0.71    0.46
198708    3.52   -0.75   -0.91    0.47
198709   -2.59    0.54    0.28    0.45
198710  -23.24   -8.40    4.20    0.60
198711   -7.77    2.64    3.23    0.35
198712    6.81    0.15   -4.43    0.39
198801    4.21   -0.69    5.16    0.29
198802    4.75    3.35   -1.64    0.46
198803   -2.27    6.15    0.74    0.44
198804    0.56    0.96    1.70    0.46
198805   -0.29   -2.65    2.28    0.51
198806    4.79    2.10   -1.12    0.49
198807   -1.25   -0.19    2.26    0.51
