20000731	2051.21	10521.98	6365.3
20000801	2074.08	10606.95	6379.3
20000802	2065.92	10687.53	6391
20000803	2045.03	10706.58	6317.1
20000804	2052.73	10767.75	6363.5
20000807	2059.32	10867.01	6387.8
20000808	2045.02	10976.89	6358.1
20000809	2064.675	10905.83	6414
20000810	2084.33	10908.76	6387.3
20000811	2101	11027.8	6384.5
20000814	2127.14	11176.14	6419.9
20000815	2153.44	11067	6475.5
20000816	2185.87	11008.39	6532
20000817	2207.05	11055.64	6518.2
20000818	2185.52	11046.48	6543.7
20000821	2200.69	11079.81	6542.2
20000822	2210.51	11139.15	6584.8
20000823	2190.45	11144.65	6566.2
20000824	2173.96	11182.74	6557
20000825	2166.29	11192.63	6563.7
20000828	2176.11	11252.84	6575
20000829	2166.68	11215.1	6586.3
20000830	2165.34	11103.01	6615.1
20000831	2147.77	11215.1	6672.7
20000901	2160.7	11238.78	6795
20000904	2190.06	11249.7	6798.1
20000905	2177.9	11260.61	6752.5
20000906	2163.39	11310.64	6694.7
20000907	2141.49	11259.87	6689.2
20000908	2135.05	11220.65	6600.7
20000911	2119.61	11195.49	6582
20000912	2086.06	11233.23	6555.5
20000913	2082.09	11182.18	6478.2
20000914	2077.02	11087.47	6555.5
20000915	2053.69	10927	6417.3
20000918	2016.26	10808.52	6410.2
20000919	2014.42	10789.29	6403.5
20000920	2006.59	10687.92	6279.9
20000921	1988.81	10765.52	6199.2
20000922	1932.99	10847.37	6205.9
20000925	1977.6	10808.15	6257.1
20000926	1989.48	10631.32	6213.2
20000927	1970.29	10628.36	6269.3
20000928	1964.94	10824.06	6264.1
20000929	1997.03	10650.92	6294.2
20001002	1972.95	10700.13	6284.5
20001003	1978.14	10719.74	6345
20001004	1976.69	10784.48	6334.9
20001005	1995.01	10724.92	6382
20001006	1962.97	10596.54	6391.2
20001009	1887.18	10568.43	6264.8
20001010	1913.81	10524.4	6247.7
20001011	1846.56	10413.79	6117.6
20001012	1865.85	10034.58	6131.9
20001013	1860.4	10192.18	6209.6
20001016	1883.37	10238.8	6285.7
20001017	1818.45	10089.71	6203.2
20001018	1828.56	9975.02	6148.2
20001019	1884.05	10142.98	6218.9
20001020	1923.67	10226.59	6276.3
20001023	1914.49	10271.72	6315.9
20001024	1915.69	10393.07	6438.4
20001025	1922.28	10326.48	6367.8
20001026	1941.66	10380.12	6302.3
20001027	1961.04	10590.62	6366.5
20001030	1957.75	10835.77	6388.4
20001031	1976.54	10971.14	6438.4
20001101	2040.01	10899.47	6457.6
20001102	2040.43	10880.51	6392
20001103	2061.5	10817.95	6385.4
20001106	2006.84	10977.21	6431
20001107	2021.3	10952.18	6466.9
20001108	2016.52	10907.06	6477.4
20001109	2003.79	10834.25	6442.2
20001110	1986.2	10602.95	6400.2
20001113	1937.97	10517.25	6274.8
20001114	1980.55	10681.06	6412.9
20001115	1957.68	10707.6	6432.3
20001116	1982.34	10656.03	6430.4
20001117	1953.54	10629.87	6440.1
20001120	1934.19	10462.65	6345
20001121	1924.38	10494.5	6382.1
20001122	1911.07	10399.32	6221.4
20001123	1940.27	10399.32	6287.3
20001124	1984.36	10470.23	6327.6
20001127	1979.52	10546.07	6374.7
20001128	1966.26	10507.58	6249.8
20001129	1960.71	10629.11	6164.9
20001130	1952.23	10414.49	6142.2
20001201	1955	10373.54	6170.4
20001204	1930.97	10560.1	6158.7
20001205	1953.61	10898.72	6299
20001206	1974.83	10664.38	6273.3
20001207	1958.73	10617.36	6231.4
20001208	1960.16	10712.91	6288.3
20001211	2004.29	10725.8	6370.3
20001212	1983.71	10768.27	6390.4
20001213	2013.66	10794.44	6403
20001214	1980.54	10674.99	6263.8
20001215	1948.18	10434.96	6175.8
20001218	1969.73	10645.42	6246.5
20001219	1960.86	10584.37	6295
20001220	1929.32	10318.93	6176.7
20001221	1898.84	10487.29	6115.5
20001222	1902.86	10635.56	6097.5
20001226	1892.6	10692.44	6157.85
20001227	1896.565	10803.16	6218.2
