          Mkt-RF     SMB     HML      RF
20040805   -1.63   -0.23    0.48   0.005
20040806   -1.59   -0.89    0.79   0.005
20040809    0.02   -0.36    0.11   0.005
20040810    1.39    0.80   -0.52   0.005
20040811   -0.29   -0.37    0.14   0.005
20040812   -1.18   -0.52    0.32   0.005
20040813    0.10   -0.04    0.09   0.005
20040816    1.40    0.40   -0.08   0.005
20040817    0.31    0.13   -0.72   0.005
20040818    1.34    0.75   -0.71   0.005
20040819   -0.38   -0.26    0.22   0.005
20040820    0.79    0.92   -0.32   0.005
20040823   -0.32   -0.37   -0.32   0.005
20040824    0.03    0.17    0.07   0.005
20040825    0.84    0.13   -0.49   0.005
20040826   -0.05   -0.49    0.41   0.005
20040827    0.33    0.51   -0.21   0.005
20040830   -0.86   -0.44    0.39   0.005
20040831    0.48    0.00    0.25   0.005
20040901    0.30    0.53   -0.31   0.005
20040902    1.09    0.29   -0.27   0.005
20040903   -0.45   -0.24    0.42   0.005
20040907    0.73    0.31    0.02   0.005
20040908   -0.48   -0.34    0.08   0.005
20040909    0.34    1.21   -0.34   0.005
20040910    0.53    0.17   -0.71   0.005
20040913    0.30    0.38   -0.48   0.005
20040914    0.19   -0.44   -0.23   0.005
20040915   -0.67    0.16    0.39   0.005
20040916    0.36    0.44    0.32   0.005
20040917    0.35   -0.55    0.05   0.005
20040920   -0.51    0.13    0.20   0.005
20040921    0.66    0.34   -0.05   0.005
20040922   -1.37   -0.51    0.66   0.005
20040923   -0.37    0.39   -0.08   0.005
20040924    0.14   -0.19    0.45   0.005
20040927   -0.71   -0.65    0.46   0.005
20040928    0.63    0.62   -0.19   0.005
20040929    0.50    0.65   -0.67   0.005
20040930    0.06    0.10    0.55   0.005
20041001    1.48    0.56   -0.16   0.005
20041004    0.39    0.37   -0.18   0.005
20041005   -0.11   -0.21    0.23   0.005
20041006    0.69    0.13    0.21   0.005
20041007   -1.05   -0.56    0.29   0.005
20041008   -0.80   -0.48    0.69   0.005
20041011    0.23    0.18   -0.53   0.005
20041012   -0.23   -0.05    0.22   0.005
20041013   -0.75   -0.38   -0.51   0.005
20041014   -0.92    0.04   -0.05   0.005
20041015    0.45    0.26    0.02   0.005
20041018    0.51   -0.02   -0.89   0.005
20041019   -0.92    0.08   -0.51   0.005
20041020    0.11    0.54   -0.04   0.005
20041021    0.37    0.80   -0.13   0.005
20041022   -1.00   -0.58    0.69   0.005
20041025   -0.03    0.64    0.53   0.005
20041026    1.36   -0.53    0.54   0.005
20041027    1.39    0.39   -1.36   0.005
20041028    0.13   -0.32   -0.22   0.005
20041029    0.18   -0.49    0.29   0.005
20041101    0.06    0.37    0.02   0.007
20041102   -0.01   -0.10   -0.18   0.007
20041103    1.17    0.43    0.04   0.007
20041104    1.51   -0.63    0.31   0.007
20041105    0.44    0.28   -0.41   0.007
20041108   -0.13   -0.23   -0.01   0.007
20041109    0.05    0.69   -0.01   0.007
20041110   -0.01    0.47    0.26   0.007
20041111    0.90    0.13   -0.30   0.007
20041112    0.85    0.00   -0.02   0.007
20041115    0.07    0.33   -0.38   0.007
20041116   -0.66   -0.18    0.37   0.007
20041117    0.64    0.31   -0.11   0.007
20041118    0.05   -0.19    0.16   0.007
20041119   -1.11   -0.17    0.91   0.007
20041122    0.60    0.46    0.41   0.007
20041123    0.06    0.28    0.39   0.007
20041124    0.47    0.32    0.13   0.007
20041126    0.12    0.18    0.32   0.007
20041129   -0.21    0.85   -0.22   0.007
20041130   -0.37    0.24    0.05   0.007
20041201    1.48    0.09   -1.04   0.007
20041202   -0.07    0.13   -0.78   0.007
20041203    0.04   -0.17    0.20   0.007
20041206   -0.13   -0.38   -0.07   0.007
20041207   -1.16   -0.89    0.38   0.007
20041208    0.46    0.39   -0.33   0.007
20041209    0.44   -0.74    0.11   0.007
20041210   -0.01    0.44    0.23   0.007
20041213    0.86    0.00   -0.05   0.007
20041214    0.45    0.51   -0.19   0.007
20041215    0.33    0.40    0.48   0.007
20041216   -0.28   -0.42    0.32   0.007
20041217   -0.55    0.51    0.45   0.007
20041220   -0.13   -0.60    0.47   0.007
20041221    0.92    0.25   -0.07   0.007
20041222    0.39    0.06   -0.30   0.007
20041223    0.09    0.20   -0.19   0.007
20041227   -0.45   -0.21   -0.03   0.007
20041228    0.83    0.74   -0.13   0.007
20041229    0.01   -0.06    0.02   0.007
20041230    0.04   -0.04   -0.13   0.007
20041231   -0.14    0.00    0.21   0.007
20050103   -0.97   -0.57   -0.19   0.008
20050104   -1.30   -0.58    0.51   0.008
20050105   -0.51   -1.07    0.00   0.008
20050106    0.34   -0.14    0.19   0.008
20050107   -0.22   -0.75   -0.03   0.008
20050110    0.42    0.23    0.19   0.008
20050111   -0.68   -0.33    0.36   0.008
20050112    0.38   -0.08   -0.02   0.008
20050113   -0.77    0.13    0.54   0.008
20050114    0.66    0.51    0.06   0.008
20050118    0.97    0.16   -0.23   0.008
20050119   -0.97   -0.15    0.49   0.008
20050120   -0.77   -0.14    0.00   0.008
20050121   -0.56    0.28    0.34   0.008
20050124   -0.49   -0.78    0.68   0.008
20050125    0.34    0.17   -0.37   0.008
20050126    0.62    0.91   -0.12   0.008
20050127    0.08    0.18    0.16   0.008
20050128   -0.30   -0.26    0.13   0.008
20050131    0.97    0.77    0.09   0.008
20050201    0.69   -0.07    0.13   0.009
20050202    0.36    0.21    0.27   0.009
20050203   -0.27   -0.13    0.42   0.009
20050204    1.12    0.13   -0.58   0.009
20050207   -0.11    0.10   -0.07   0.009
20050208    0.08    0.19   -0.04   0.009
20050209   -1.00   -1.11    0.81   0.009
20050210    0.35   -0.36    0.19   0.009
20050211    0.77    0.48   -0.39   0.009
20050214    0.09   -0.01    0.15   0.009
20050215    0.28   -0.38    0.04   0.009
20050216    0.07    0.33    0.66   0.009
20050217   -0.79   -0.28    0.23   0.009
20050218    0.01   -0.12    0.08   0.009
20050222   -1.47   -0.28   -0.08   0.009
20050223    0.53   -0.14    0.30   0.009
20050224    0.83    0.17   -0.15   0.009
20050225    0.97    0.35    0.43   0.009
20050228   -0.61    0.24    0.11   0.009
20050301    0.58    0.14   -0.19   0.010
20050302   -0.01   -0.18    0.12   0.010
20050303   -0.01    0.06    0.59   0.010
20050304    0.89   -0.02    0.36   0.010
20050307    0.27   -0.36   -0.03   0.010
